p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.474231851161669,0.984,0.108,0,7,UBE2C
0,4.298628647064596,0.854,0.052,0,7,CDCA3
0,4.06034406919708,0.904,0.069,0,7,AURKB
0,4.016207928608523,0.79,0.055,0,7,MXD3
0,3.9678900357203615,0.957,0.078,0,7,SPC25
0,3.9532593161349237,0.98,0.178,0,7,HIST1H2AH
0,3.913468295322682,0.911,0.072,0,7,CKAP2L
0,3.8925604969468477,0.982,0.119,0,7,CDK1
0,3.8826861106702495,0.954,0.086,0,7,ESCO2
0,3.8430803069882025,0.796,0.048,0,7,E2F8
0,3.8125159440911145,0.94,0.09,0,7,CDCA2
0,3.806784211422164,0.975,0.115,0,7,KIFC1
0,3.8049500884052696,0.966,0.1,0,7,PKMYT1
0,3.794221184991384,0.944,0.086,0,7,CDCA5
0,3.785387287693112,1,0.928,0,7,HIST1H4C
0,3.742161245915842,0.332,0.015,0,7,FBXO43
0,3.7351987140129164,1,0.22,0,7,RRM2
0,3.73123344826677,0.996,0.226,0,7,TOP2A
0,3.730110795926002,0.893,0.063,0,7,HJURP
0,3.7072360190433935,0.356,0.021,0,7,NRGN
0,3.670596241886297,0.955,0.093,0,7,GTSE1
0,3.663081817940556,0.694,0.04,0,7,PBK
0,3.6428069351898307,0.321,0.018,0,7,PSRC1
0,3.6343062100166494,0.864,0.086,0,7,GGH
0,3.6194579644891176,0.999,0.376,0,7,HIST1H1B
0,3.5906254237596626,0.613,0.363,0,8,LINC02694
0,2.9586415210297936,0.355,0.227,0,8,DEC1
0,2.867998966886504,0.468,0.314,0,8,PAM
0,2.823644937770227,0.33,0.208,0,8,ZSWIM6
0,2.7829208283367173,0.305,0.199,0,8,EXT1
0,2.7578770472867222,0.638,0.455,0,8,NCALD
0,2.7510108772921322,0.287,0.168,0,8,TGFBR3
0,2.7305247687265766,0.321,0.183,0,8,PRKY
0,2.722945645323292,0.839,0.682,0,8,ATXN1
0,2.7177567760982244,0.588,0.425,0,8,ARL15
0,2.6994265637446966,0.871,0.704,0,8,CHST11
0,2.6906162441529657,0.576,0.427,0,8,BCAS3
0,2.6663947792301537,0.913,0.841,0,8,NEAT1
0,2.6564675712636516,0.278,0.169,0,8,CATSPERB
0,2.6488456397937066,0.396,0.245,0,8,FNDC3B
0,2.6324187965329116,0.511,0.354,0,8,MEAK7
0,2.6070591563954943,0.593,0.439,0,8,XYLT1
0,2.606626833816832,0.529,0.367,0,8,GRAMD1B
0,2.6007086489474753,0.663,0.487,0,8,MSI2
0,2.585237210836178,0.418,0.307,0,8,RFX3
0,2.582658083977094,0.517,0.4,0,8,PHF21A
0,2.573854103758908,0.339,0.25,0,8,HIF1A-AS3
0,2.5724376991188955,0.651,0.499,0,8,FTX
0,2.572022497607724,0.593,0.427,0,8,CMIP
0,2.558575649038013,0.268,0.165,0,8,KSR1
0,3.7618681893878447,0.401,0.059,0,9,DPF3
0,3.6520782977933335,0.779,0.215,0,9,CENPP
0,3.5649698876937284,0.393,0.066,0,9,WDR62
0,3.474232848268717,0.564,0.115,0,9,POLQ
0,3.414620509950491,0.624,0.164,0,9,DIAPH3
0,3.275354953579915,0.444,0.098,0,9,CIT
0,3.189512459849407,0.335,0.076,0,9,KIF18B
0,3.1872614802206876,0.431,0.088,0,9,PRR11
0,3.177264310720858,0.266,0.057,0,9,ESPL1
0,3.1562489652997074,0.543,0.133,0,9,C21orf58
0,3.1222053083422447,0.406,0.092,0,9,E2F7
0,3.1128782564539303,0.53,0.122,0,9,MELK
0,3.106049747423558,0.414,0.096,0,9,AP001347.1
0,3.1052527852118144,0.481,0.122,0,9,FANCC
0,3.1017746531870602,0.483,0.118,0,9,FANCA
0,3.077636618509259,0.639,0.186,0,9,BRIP1
0,3.07043503634872,0.476,0.091,0,9,SETBP1
0,3.0578493898250043,0.421,0.117,0,9,ARHGAP11B
0,3.0321690478179035,0.464,0.11,0,9,STIL
0,3.03132031070214,0.562,0.142,0,9,POLE
0,3.01033575218714,0.313,0.069,0,9,RECQL4
0,3.0075207891549716,0.644,0.168,0,9,KNTC1
0,2.9773827954651644,0.624,0.188,0,9,LRP8
0,2.958657832753758,0.266,0.066,0,9,SAPCD2
0,2.9558959690019577,0.635,0.173,0,9,ASPM
0,4.896122541399963,0.909,0.098,0,10,CDC20
0,4.344966018463099,0.84,0.127,0,10,CCNB1
0,4.218139849654144,0.879,0.12,0,10,CCNB2
0,3.9682871471292893,0.835,0.082,0,10,TROAP
0,3.9452452524912016,0.716,0.083,0,10,PLK1
0,3.9425173827397284,0.479,0.044,0,10,KIF20A
0,3.742811456147302,0.391,0.039,0,10,NEK2
0,3.6739794375863837,0.986,0.287,0,10,PTTG1
0,3.562191238823546,0.623,0.091,0,10,CENPA
0,3.497745728535842,0.369,0.045,0,10,DEPDC1
0,3.493113652202164,0.857,0.12,0,10,DLGAP5
0,3.3417149550962892,0.931,0.139,0,10,BIRC5
0,3.3018275406183095,0.76,0.125,0,10,HMMR
0,3.2924763523432574,0.807,0.172,0,10,ASPM
0,3.226979905258413,0.887,0.162,0,10,CDKN3
0,3.2252248269735913,0.256,0.03,0,10,PSRC1
0,3.201027647548153,0.306,0.036,0,10,FAM72B
0,3.1855097778976647,0.868,0.142,0,10,CEP55
0,3.1838324464784304,0.521,0.095,0,10,AURKA
0,3.1762461205794517,0.672,0.1,0,10,KIF14
0,3.079329470274932,0.62,0.086,0,10,PRR11
0,3.0020237401605434,0.956,0.267,0,10,CENPF
0,2.956015282277929,0.884,0.252,0,10,TPX2
0,2.891636606434734,0.895,0.191,0,10,HMGB3
0,2.848980635989011,0.705,0.141,0,10,NUF2
0,6.3015532490989,0.357,0.033,0,11,CSF2
0,6.242534823654871,0.289,0.01,0,11,NR4A3
0,6.0310070034529,0.418,0.016,0,11,EBI3
0,5.418593845134458,0.394,0.023,0,11,GNG4
0,5.154919796667732,0.426,0.02,0,11,TNFRSF9
