p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.119926870302606e-11,0.4515313084320005,0.416,0.242,1.4570930340074284e-6,10,PRDM1
7.175970928585684e-11,0.46173978315966524,0.377,0.21,1.4685624505350603e-6,10,PDE12
7.382006117495621e-11,0.42706997197261254,0.614,0.394,1.5107275519454788e-6,10,DDA1
7.99273980334192e-11,0.46220385426194155,0.537,0.336,1.6357142007539238e-6,10,FH
8.190403910646182e-11,0.5649310124566347,0.501,0.299,1.6761661603137412e-6,10,EMC8
8.410072638298516e-11,0.5086345880328105,0.386,0.217,1.7211213654277913e-6,10,CHUK
8.446199295519818e-11,0.3706994603059387,0.835,0.642,1.7285146858281308e-6,10,GRK6
8.734146739186599e-11,0.301577221977559,0.967,0.915,1.7874431301745375e-6,10,HNRNPF
8.993672473422976e-11,0.46404784734065263,0.402,0.227,1.840555071686012e-6,10,SWI5
9.021872138248455e-11,0.5039908306603009,0.391,0.221,1.8463261330925462e-6,10,TMEM69
9.086975616412474e-11,0.39342321177561934,0.612,0.395,1.8596495598988128e-6,10,CHTOP
9.176415183276276e-11,0.6131638960068675,0.273,0.14,1.87795336725749e-6,10,PRMT6
9.309131243639968e-11,0.4125846446113591,0.73,0.499,1.9051137090109194e-6,10,CDC26
9.359024666366622e-11,0.38901038519604614,0.725,0.491,1.9153243979719292e-6,10,PFDN1
9.364975461778613e-11,0.4714993263901768,0.534,0.33,1.916542228252993e-6,10,TMX2
9.773293285775253e-11,0.30603762503353504,0.959,0.87,2.0001044709339055e-6,10,S1PR4
9.842060499920535e-11,0.5205995383669393,0.256,0.127,2.0141776813087375e-6,10,NAGA
9.919642884881341e-11,0.4523924023849146,0.413,0.237,2.0300549163909665e-6,10,NOC4L
9.958212032756819e-11,0.5615251492498119,0.325,0.177,2.037948092503683e-6,10,GABARAPL1
1.0039791220606276e-10,0.40853249969924477,0.433,0.248,2.0546432732970743e-6,10,BTN2A1
1.014370809571119e-10,0.4495220169751737,0.54,0.339,2.075909861787295e-6,10,DCAF13
1.0521472582070146e-10,0.5715289005533344,0.281,0.146,2.1532193639206554e-6,10,CHCHD4
1.1279199796376815e-10,0.45452450383513726,0.678,0.456,2.3082882383285153e-6,10,WBP1
1.1404877042764383e-10,0.592089234051254,0.259,0.132,2.334008086801731e-6,10,AC012146.1
1.145799011226245e-10,0.34168929527480474,0.43,0.247,2.3448776764745105e-6,10,DZIP3
1.1478840100664911e-10,0.3978436403533323,0.545,0.339,2.349144626601074e-6,10,UTP23
1.166911012262517e-10,0.5312726036598161,0.353,0.196,2.388083386595241e-6,10,C12orf45
1.1787504305971197e-10,0.39253195958286735,0.675,0.447,2.4123127562170055e-6,10,HARS
1.1821899015274084e-10,0.6719741943240929,0.251,0.125,2.4193516334758414e-6,10,AL451165.2
1.2073053667904787e-10,0.3572642960755402,0.642,0.405,2.4707504331367147e-6,10,MYD88
1.23680177210872e-10,0.4267070079731521,0.741,0.529,2.5311148266204953e-6,10,RPA2
1.3056600245420213e-10,0.447560399137088,0.27,0.138,2.6720332402252467e-6,10,CD109
1.3169154655656712e-10,0.5205488671455454,0.397,0.229,2.695067500280146e-6,10,GMPPA
1.3177414714959923e-10,0.4462694767849572,0.584,0.379,2.6967579214165482e-6,10,ATP6V1D
1.3251133523795033e-10,0.3640147189424334,0.818,0.61,2.7118444756446536e-6,10,MESD
1.3274670251917087e-10,0.26156450964661815,0.353,0.19,2.716661267054832e-6,10,CCDC138
1.3726064729269183e-10,0.6108991271527358,0.27,0.139,2.8090391468449383e-6,10,SWSAP1
1.3775758311851405e-10,0.38637621232822267,0.835,0.617,2.81920893852039e-6,10,COX16
1.419608874897449e-10,0.3863590462057339,0.769,0.591,2.905229562477629e-6,10,USP14
1.4640999523862774e-10,0.35503585677948146,0.774,0.545,2.9962805525585168e-6,10,UPF3A
1.4800027869910082e-10,0.5349789964394451,0.457,0.28,3.0288257035770982e-6,10,TMEM11
1.4830381367403334e-10,0.46278998049410114,0.46,0.282,3.0350375468390922e-6,10,STARD3NL
1.5155143806566684e-10,0.3277470290526743,0.887,0.703,3.101500180013872e-6,10,MFNG
1.517728165367771e-10,0.41763270280538634,0.375,0.208,3.1060306904251433e-6,10,C8orf33
1.573081664929532e-10,0.4051140006580083,0.752,0.555,3.2193116272782873e-6,10,TFDP1
1.586883957571672e-10,0.6105328491104234,0.278,0.147,3.2475580191704267e-6,10,OGFRL1
1.6709900130251754e-10,0.4946325307392847,0.309,0.164,3.4196810616560214e-6,10,WEE1
1.6828805016189108e-10,0.3560157794456945,0.661,0.438,3.444014946563101e-6,10,MRPL37
1.7124546225488757e-10,0.5207690400875906,0.253,0.127,3.504538385046274e-6,10,DUS2
1.73042025153336e-10,0.3010192499788249,0.92,0.74,3.5413050447630212e-6,10,PET100
1.7667867169279816e-10,0.3899964274634413,0.645,0.43,3.6157290161931144e-6,10,USP7
1.7728707391029275e-10,0.4561292427396453,0.631,0.414,3.628179967574141e-6,10,TIMM23
1.8143597735331696e-10,0.40844448859667815,0.595,0.374,3.7130872765356315e-6,10,FTSJ1
1.8185453143360064e-10,0.38831018213163576,0.708,0.487,3.721652985788637e-6,10,ISY1
1.8706503013277143e-10,0.5274292489656558,0.295,0.156,3.828285841667167e-6,10,HDAC6
1.8894508180267167e-10,0.5133568936829165,0.289,0.151,3.866761099091676e-6,10,CENPL
1.8899437570496502e-10,0.4127394491884724,0.377,0.212,3.867769898802109e-6,10,JPT2
1.9078050250698197e-10,0.6668713508966113,0.253,0.13,3.904322983805386e-6,10,SLC35C1
2.0146417867294986e-10,0.3290565322450359,0.741,0.501,4.122964416541919e-6,10,WBP2
2.0605916972726845e-10,0.6532734246493992,0.27,0.142,4.217000908468549e-6,10,PIGV
2.0650170462488404e-10,0.36455158482801453,0.347,0.187,4.226057385148252e-6,10,SPRTN
2.0767876307559163e-10,0.5767131872779145,0.342,0.194,4.250145886341983e-6,10,DMAC2
2.1233326208403014e-10,0.4144033674933447,0.758,0.554,4.345400208549677e-6,10,MRPL3
2.1747204037581014e-10,0.3760930408488067,0.752,0.536,4.4505653062909545e-6,10,MRPL11
2.189104453265145e-10,0.4726199138095539,0.446,0.267,4.480002263607119e-6,10,AL606807.1
2.2104806873812777e-10,0.40352362035442085,0.705,0.49,4.523748726725785e-6,10,MRPL9
2.2107915498281727e-10,0.3972248256420783,0.667,0.454,4.5243849067233555e-6,10,CNIH4
2.2155965950787504e-10,0.38102294524163005,0.468,0.277,4.534218431828663e-6,10,BAG2
2.242577235023191e-10,0.44816471767899013,0.857,0.727,4.58943431147496e-6,10,DSTN
2.277076305290393e-10,0.34310346576796036,0.259,0.131,4.660036658776789e-6,10,CIITA
2.2780555219981125e-10,0.4048938975086249,0.444,0.266,4.662040625769137e-6,10,CTPS1
2.2980928271465473e-10,0.34607115280433226,0.747,0.523,4.703046970755409e-6,10,GLRX3
2.3397972448435667e-10,0.49782607368421505,0.43,0.253,4.788395061572359e-6,10,AK6
2.3791812964191195e-10,0.4590782828569604,0.394,0.223,4.868994523121728e-6,10,GUCD1
2.3832091855524595e-10,0.4274013112779249,0.565,0.344,4.8772375982331084e-6,10,SBF1
2.442708257888171e-10,0.2915125088203182,0.939,0.817,4.999002449768142e-6,10,NDUFB10
2.4540502963077415e-10,0.39498876797067867,0.818,0.604,5.022213931393793e-6,10,FIBP
2.520876840605979e-10,0.4169042108080463,0.623,0.412,5.158974454300136e-6,10,MRPL12
2.526128195512456e-10,0.34912098748837783,0.556,0.351,5.169721352116241e-6,10,PTS
2.567288603927409e-10,0.43826905938425464,0.468,0.278,5.2539561279374425e-6,10,SNAPC5
2.6811819431316053e-10,0.3573045912876429,0.526,0.321,5.48703884661883e-6,10,RARS
2.7875590724590893e-10,0.3577505205142097,0.807,0.595,5.704739641787526e-6,10,MRPL43
2.822984068728829e-10,0.37700558980030396,0.656,0.426,5.777236896653548e-6,10,YIPF5
2.846198832173741e-10,0.46120302632398547,0.449,0.27,5.8247459100435606e-6,10,UBE2O
2.8898772264085437e-10,0.37094681169519117,0.664,0.425,5.914133743845085e-6,10,UBE2J2
2.8959523667992926e-10,0.37528956914023237,0.581,0.368,5.926566518654752e-6,10,AMD1
2.9585778271723484e-10,0.4668770413969745,0.51,0.317,6.054729523308211e-6,10,ACOT8
3.0200353329234986e-10,0.44405563723428565,0.449,0.266,6.18050230882794e-6,10,THAP1
3.0624880409391153e-10,0.41801968776227905,0.397,0.224,6.2673817757818995e-6,10,C16orf91
3.103812762361713e-10,0.4624201754649313,0.623,0.419,6.351952818173245e-6,10,MRPL10
3.150570915266826e-10,0.3393773959843429,0.65,0.415,6.447643378093559e-6,10,POLE4
3.152798022654224e-10,0.3574247086184037,0.446,0.258,6.4522011533618695e-6,10,DCTN5
3.163069806078056e-10,0.40423011956265525,0.741,0.516,6.473222358138742e-6,10,RNASEH2C
3.1804980871186217e-10,0.49299794688491927,0.303,0.165,6.508889335288259e-6,10,SPRY1
3.183364682968204e-10,0.45613088185796347,0.306,0.163,6.514755823694429e-6,10,ZNF66
3.2235636382438315e-10,0.4658537161351495,0.512,0.323,6.597022985666001e-6,10,TIMM50
3.3632319151877255e-10,0.3512583201136935,0.843,0.617,6.88285411443168e-6,10,PPP1R7
